getUniform, MTM, hyperCubeDist, 6075.96305
getUniform, MTM, torusDist, 6105.4698
getUniform, FLIP, hyperCubeDist, 4612.49275
getUniform, FLIP, torusDist, 4603.8253
getHarmonic, MTM, hyperCubeDist, 2248.9292
getHarmonic, MTM, torusDist, 2481.1797
getHarmonic, FLIP, hyperCubeDist, 3567.48005
getHarmonic, FLIP, torusDist, 3653.5029
getBiharmonic, MTM, hyperCubeDist, 581.49595
getBiharmonic, MTM, torusDist, 637.29005
getBiharmonic, FLIP, hyperCubeDist, 1412.71965
getBiharmonic, FLIP, torusDist, 1497.2554
